"ID","Type","Name","Documentation","Specialization"
"id-8b0cd420d69c4081863af51ab7391eaf","Artifact","Stakeholder.ajs","Datei | Pfad: 01-artifacts/01-scripts/examples/Change type to/5. Motivation/Stakeholder.ajs | Tiefe: 6",""
"id-8bb33d9c52a940b186b6a89a54addfb7","Artifact","CLE20-csv_master.py","Datei | Pfad: 01-artifacts/01-scripts/CLE20-csv_master.py | Tiefe: 3",""
"id-8bc6694f5c4948598a3f586b04841b02","Artifact","app.json","Datei | Pfad: .obsidian/app.json | Tiefe: 2",""
"id-8c95d65486b74cbe8f98586af73abb7a","Artifact","Realization Relationship.ajs","Datei | Pfad: 01-artifacts/01-scripts/examples/Change type to/8. Relations/Realization Relationship.ajs | Tiefe: 6",""
"id-8d41ea10f2734a3084a75a6d345615fa","Artifact","Business Interaction.ajs","Datei | Pfad: 01-artifacts/01-scripts/examples/Change type to/2. Business/Business Interaction.ajs | Tiefe: 6",""
"id-8d88873583dc49319db91dcd568a4479","Artifact","HLP09-serve_report.py","Datei | Pfad: 01-artifacts/01-scripts/HLP09-serve_report.py | Tiefe: 3",""
"id-8f6e1390aacf42979c66e8c598e17401","Artifact","archimate3_Diagram.xsd","Datei | Pfad: 01-artifacts/00-xml/03-child/00-archimatechild/archimate3_Diagram.xsd | Tiefe: 5",""
"id-901c99b88a224c729e25ce3cc395379f","Artifact","01-scripts","Ordner | Pfad: 01-artifacts/01-scripts | Tiefe: 2",""
"id-911458e511f04600820c232495882fbf","Artifact","01-mapping","Ordner | Pfad: 01-artifacts/03-XLSX/01-mapping | Tiefe: 3",""
"id-9136d63488da4cd8833cb1ee24b86b14","Artifact","01-bpmnchild","Ordner | Pfad: 01-artifacts/02-csv/03-child/01-bpmnchild | Tiefe: 4",""
"id-91bb8576d773433f8ccf375bc66e75d9","Artifact","00-archimatechild","Ordner | Pfad: 01-artifacts/02-csv/03-child/00-archimatechild | Tiefe: 4",""
"id-92230dc51fe34d8c911d26921ff74930","Artifact","00-archimatechild","Ordner | Pfad: 01-artifacts/03-XLSX/03-child/00-archimatechild | Tiefe: 4",""
"id-922ec4786c5f46e2a57ffe3f70cd3be8","Artifact","HLP00_resolve_root.py","Datei | Pfad: 01-artifacts/01-scripts/HLP00_resolve_root.py | Tiefe: 3",""
"id-93011b676afc4ca8a3eadaefa860652d","Artifact","HLP08_structure2xml.py","Datei | Pfad: 01-artifacts/01-scripts/HLP08_structure2xml.py | Tiefe: 3",""
"id-930fba7d83754a7992af200f69acd6b9","Artifact","02-xyarchive","Ordner | Pfad: 02-stages/02-xyarchive | Tiefe: 2",""
